,method,seed,k,epoch,train_test,tp,tn,fp,fn
286,original and cof,4,10,144,train,2049,2832,217,1000
287,original and cof,4,10,144,test,88,87,6,5
288,original and cof,4,10,145,train,2052,2825,224,997
289,original and cof,4,10,145,test,88,87,6,5
290,original and cof,4,10,146,train,2055,2824,225,994
291,original and cof,4,10,146,test,88,87,6,5
292,original and cof,4,10,147,train,2058,2821,228,991
293,original and cof,4,10,147,test,88,87,6,5
294,original and cof,4,10,148,train,2064,2819,230,985
295,original and cof,4,10,148,test,88,86,7,5
296,original and cof,4,10,149,train,2069,2818,231,980
297,original and cof,4,10,149,test,88,86,7,5
298,original and cof,4,10,150,train,2074,2816,233,975
299,original and cof,4,10,150,test,88,86,7,5
300,original and cof,4,10,151,train,2076,2812,237,973
301,original and cof,4,10,151,test,88,86,7,5
302,original and cof,4,10,152,train,2077,2810,239,972
303,original and cof,4,10,152,test,88,86,7,5
304,original and cof,4,10,153,train,2082,2808,241,967
305,original and cof,4,10,153,test,88,86,7,5
306,original and cof,4,10,154,train,2087,2804,245,962
307,original and cof,4,10,154,test,88,86,7,5
308,original and cof,4,10,155,train,2094,2804,245,955
309,original and cof,4,10,155,test,88,86,7,5
310,original and cof,4,10,156,train,2104,2798,251,945
311,original and cof,4,10,156,test,88,86,7,5
312,original and cof,4,10,157,train,2104,2798,251,945
313,original and cof,4,10,157,test,88,86,7,5
314,original and cof,4,10,158,train,2109,2791,258,940
315,original and cof,4,10,158,test,88,86,7,5
316,original and cof,4,10,159,train,2109,2791,258,940
317,original and cof,4,10,159,test,88,86,7,5
318,original and cof,4,10,160,train,2119,2786,263,930
319,original and cof,4,10,160,test,88,86,7,5
320,original and cof,4,10,161,train,2114,2787,262,935
321,original and cof,4,10,161,test,88,86,7,5
322,original and cof,4,10,162,train,2129,2782,267,920
323,original and cof,4,10,162,test,88,86,7,5
324,original and cof,4,10,163,train,2125,2784,265,924
325,original and cof,4,10,163,test,88,86,7,5
326,original and cof,4,10,164,train,2142,2774,275,907
327,original and cof,4,10,164,test,89,86,7,4
328,original and cof,4,10,165,train,2134,2782,267,915
329,original and cof,4,10,165,test,88,86,7,5
330,original and cof,4,10,166,train,2153,2766,283,896
331,original and cof,4,10,166,test,89,86,7,4
332,original and cof,4,10,167,train,2136,2778,271,913
333,original and cof,4,10,167,test,88,86,7,5
334,original and cof,4,10,168,train,2158,2762,287,891
335,original and cof,4,10,168,test,89,86,7,4
336,original and cof,4,10,169,train,2142,2775,274,907
337,original and cof,4,10,169,test,88,86,7,5
338,original and cof,4,10,170,train,2165,2759,290,884
339,original and cof,4,10,170,test,89,86,7,4
340,original and cof,4,10,171,train,2145,2771,278,904
341,original and cof,4,10,171,test,89,86,7,4
342,original and cof,4,10,172,train,2170,2757,292,879
343,original and cof,4,10,172,test,89,86,7,4
344,original and cof,4,10,173,train,2152,2766,283,897
345,original and cof,4,10,173,test,89,86,7,4
346,original and cof,4,10,174,train,2175,2756,293,874
347,original and cof,4,10,174,test,89,85,8,4
348,original and cof,4,10,175,train,2158,2766,283,891
349,original and cof,4,10,175,test,89,86,7,4
350,original and cof,4,10,176,train,2177,2752,297,872
351,original and cof,4,10,176,test,89,85,8,4
352,original and cof,4,10,177,train,2158,2762,287,891
353,original and cof,4,10,177,test,89,86,7,4
354,original and cof,4,10,178,train,2184,2750,299,865
355,original and cof,4,10,178,test,89,85,8,4
356,original and cof,4,10,179,train,2158,2762,287,891
357,original and cof,4,10,179,test,89,86,7,4
358,original and cof,4,10,180,train,2184,2748,301,865
359,original and cof,4,10,180,test,89,85,8,4
360,original and cof,4,10,181,train,2164,2759,290,885
361,original and cof,4,10,181,test,89,86,7,4
362,original and cof,4,10,182,train,2185,2748,301,864
363,original and cof,4,10,182,test,89,85,8,4
364,original and cof,4,10,183,train,2168,2759,290,881
365,original and cof,4,10,183,test,89,86,7,4
366,original and cof,4,10,184,train,2185,2745,304,864
367,original and cof,4,10,184,test,89,85,8,4
368,original and cof,4,10,185,train,2169,2758,291,880
369,original and cof,4,10,185,test,89,86,7,4
370,original and cof,4,10,186,train,2185,2745,304,864
371,original and cof,4,10,186,test,90,85,8,3
372,original and cof,4,10,187,train,2170,2758,291,879
373,original and cof,4,10,187,test,89,86,7,4
374,original and cof,4,10,188,train,2188,2743,306,861
375,original and cof,4,10,188,test,90,85,8,3
376,original and cof,4,10,189,train,2172,2757,292,877
377,original and cof,4,10,189,test,89,86,7,4
378,original and cof,4,10,190,train,2188,2743,306,861
379,original and cof,4,10,190,test,90,85,8,3
380,original and cof,4,10,191,train,2176,2757,292,873
381,original and cof,4,10,191,test,89,85,8,4
382,original and cof,4,10,192,train,2190,2743,306,859
383,original and cof,4,10,192,test,90,85,8,3
384,original and cof,4,10,193,train,2176,2755,294,873
385,original and cof,4,10,193,test,89,85,8,4
386,original and cof,4,10,194,train,2191,2741,308,858
387,original and cof,4,10,194,test,90,85,8,3
388,original and cof,4,10,195,train,2176,2755,294,873
389,original and cof,4,10,195,test,89,85,8,4
390,original and cof,4,10,196,train,2191,2741,308,858
391,original and cof,4,10,196,test,90,85,8,3
392,original and cof,4,10,197,train,2176,2755,294,873
393,original and cof,4,10,197,test,89,85,8,4
394,original and cof,4,10,198,train,2191,2741,308,858
395,original and cof,4,10,198,test,90,85,8,3
396,original and cof,4,10,199,train,2176,2755,294,873
397,original and cof,4,10,199,test,89,85,8,4
398,original and cof,4,10,200,train,2191,2740,309,858
399,original and cof,4,10,200,test,90,85,8,3
400,original and cof,4,10,201,train,2176,2755,294,873
401,original and cof,4,10,201,test,89,85,8,4
402,original and cof,4,10,202,train,2191,2739,310,858
403,original and cof,4,10,202,test,90,85,8,3
404,original and cof,4,10,203,train,2177,2755,294,872
405,original and cof,4,10,203,test,89,85,8,4
406,original and cof,4,10,204,train,2191,2738,311,858
407,original and cof,4,10,204,test,90,85,8,3
408,original and cof,4,10,205,train,2177,2755,294,872
409,original and cof,4,10,205,test,89,85,8,4
410,original and cof,4,10,206,train,2191,2738,311,858
411,original and cof,4,10,206,test,90,85,8,3
412,original and cof,4,10,207,train,2177,2755,294,872
413,original and cof,4,10,207,test,89,85,8,4
414,original and cof,4,10,208,train,2192,2738,311,857
415,original and cof,4,10,208,test,90,85,8,3
416,original and cof,4,10,209,train,2177,2755,294,872
417,original and cof,4,10,209,test,89,85,8,4
418,original and cof,4,10,210,train,2192,2738,311,857
419,original and cof,4,10,210,test,90,85,8,3
420,original and cof,4,10,211,train,2177,2755,294,872
421,original and cof,4,10,211,test,89,85,8,4
422,original and cof,4,10,212,train,2192,2739,310,857
423,original and cof,4,10,212,test,90,85,8,3
424,original and cof,4,10,213,train,2177,2755,294,872
425,original and cof,4,10,213,test,89,85,8,4
426,original and cof,4,10,214,train,2192,2739,310,857
427,original and cof,4,10,214,test,90,85,8,3
428,original and cof,4,10,215,train,2177,2755,294,872
429,original and cof,4,10,215,test,89,85,8,4
430,original and cof,4,10,216,train,2192,2739,310,857
431,original and cof,4,10,216,test,90,85,8,3
432,original and cof,4,10,217,train,2177,2755,294,872
433,original and cof,4,10,217,test,89,85,8,4
434,original and cof,4,10,218,train,2192,2739,310,857
435,original and cof,4,10,218,test,90,85,8,3
436,original and cof,4,10,219,train,2178,2755,294,871
437,original and cof,4,10,219,test,89,85,8,4
438,original and cof,4,10,220,train,2195,2738,311,854
439,original and cof,4,10,220,test,90,85,8,3
440,original and cof,4,10,221,train,2178,2755,294,871
441,original and cof,4,10,221,test,89,85,8,4
442,original and cof,4,10,222,train,2195,2738,311,854
443,original and cof,4,10,222,test,90,85,8,3
444,original and cof,4,10,223,train,2178,2755,294,871
445,original and cof,4,10,223,test,89,85,8,4
446,original and cof,4,10,224,train,2195,2738,311,854
447,original and cof,4,10,224,test,90,85,8,3
448,original and cof,4,10,225,train,2178,2755,294,871
449,original and cof,4,10,225,test,89,85,8,4
450,original and cof,4,10,226,train,2195,2738,311,854
451,original and cof,4,10,226,test,90,85,8,3
452,original and cof,4,10,227,train,2178,2755,294,871
453,original and cof,4,10,227,test,89,85,8,4
454,original and cof,4,10,228,train,2195,2738,311,854
455,original and cof,4,10,228,test,90,85,8,3
456,original and cof,4,10,229,train,2178,2755,294,871
457,original and cof,4,10,229,test,89,85,8,4
458,original and cof,4,10,230,train,2195,2738,311,854
459,original and cof,4,10,230,test,90,85,8,3
460,original and cof,4,10,231,train,2178,2755,294,871
461,original and cof,4,10,231,test,89,85,8,4
462,original and cof,4,10,232,train,2195,2738,311,854
463,original and cof,4,10,232,test,90,85,8,3
464,original and cof,4,10,233,train,2178,2755,294,871
465,original and cof,4,10,233,test,89,85,8,4
466,original and cof,4,10,234,train,2195,2738,311,854
467,original and cof,4,10,234,test,90,85,8,3
468,original and cof,4,10,235,train,2178,2755,294,871
469,original and cof,4,10,235,test,89,85,8,4
470,original and cof,4,10,236,train,2195,2738,311,854
471,original and cof,4,10,236,test,90,85,8,3
472,original and cof,4,10,237,train,2178,2755,294,871
473,original and cof,4,10,237,test,89,85,8,4
474,original and cof,4,10,238,train,2195,2738,311,854
475,original and cof,4,10,238,test,90,85,8,3
476,original and cof,4,10,239,train,2178,2755,294,871
477,original and cof,4,10,239,test,89,85,8,4
478,original and cof,4,10,240,train,2195,2738,311,854
479,original and cof,4,10,240,test,90,85,8,3
480,original and cof,4,10,241,train,2178,2755,294,871
481,original and cof,4,10,241,test,89,85,8,4
482,original and cof,4,10,242,train,2195,2738,311,854
483,original and cof,4,10,242,test,90,85,8,3
484,original and cof,4,10,243,train,2178,2755,294,871
485,original and cof,4,10,243,test,89,85,8,4
486,original and cof,4,10,244,train,2195,2738,311,854
487,original and cof,4,10,244,test,89,85,8,4
488,original and cof,4,10,245,train,2178,2755,294,871
489,original and cof,4,10,245,test,89,85,8,4
490,original and cof,4,10,246,train,2195,2738,311,854
491,original and cof,4,10,246,test,89,85,8,4
492,original and cof,4,10,247,train,2178,2755,294,871
493,original and cof,4,10,247,test,89,85,8,4
494,original and cof,4,10,248,train,2195,2738,311,854
495,original and cof,4,10,248,test,89,85,8,4
496,original and cof,4,10,249,train,2178,2755,294,871
497,original and cof,4,10,249,test,89,85,8,4
